student_id,age,gender,place_of_origin,high_school_avg,admission_test_score,first_semester_grades,socioeconomic_level,has_scholarship,has_loan,dropout
357,18,Male,Otros departamentos,5.6,436.0,4.2,5.0,No,No,No
358,24,Male,Bogotá,7.8,357.0,2.3,4.0,No,No,Yes
359,17,Female,Cundinamarca,7.2,255.0,4.4,6.0,No,Yes,No
360,19,Male,Bogotá,8.7,307.0,4.6,5.0,No,Yes,No
361,20,Female,Otros departamentos,4.6,270.0,2.1,6.0,Yes,Yes,Yes
362,17,Male,Bogotá,8.6,204.0,4.9,3.0,Yes,No,No
363,17,Female,Bogotá,7.2,161.0,1.6,4.0,Yes,No,No
364,18,Female,Cundinamarca,9.8,294.0,1.8,5.0,Yes,No,No
365,23,Female,Cundinamarca,6.1,285.0,1.7,1.0,No,No,No
366,23,Male,Otros departamentos,7.8,152.0,4.6,4.0,No,No,No
367,22,Male,Bogotá,9.6,,3.6,1.0,No,Yes,Yes
368,18,Female,Bogotá,4.6,179.0,1.6,6.0,Yes,Yes,Yes
369,19,Male,Bogotá,,386.0,2.8,2.0,No,No,Yes
370,23,Female,Otros departamentos,8.1,428.0,,4.0,Yes,No,No
371,20,Male,Otros departamentos,4.4,264.0,1.3,6.0,No,Yes,Yes
372,24,Female,Cundinamarca,5.8,253.0,4.5,1.0,No,Yes,No
373,18,Female,Cundinamarca,8.2,267.0,4.2,3.0,Yes,Yes,No
374,24,Male,Cundinamarca,4.4,154.0,3.0,3.0,Yes,Yes,No
375,17,Female,Bogotá,7.5,397.0,4.9,2.0,No,No,Yes
376,20,Male,Bogotá,6.1,270.0,2.7,4.0,No,Yes,Yes
377,20,Female,Cundinamarca,7.7,435.0,4.9,,Yes,No,No
378,17,Female,Bogotá,4.3,298.0,3.7,4.0,No,Yes,No
379,18,Male,Cundinamarca,,,3.5,6.0,No,Yes,Yes
380,17,Male,Otros departamentos,9.8,380.0,1.7,2.0,Yes,Yes,Yes
381,24,Male,Cundinamarca,9.8,437.0,4.5,4.0,No,No,No
382,22,Female,Otros departamentos,8.5,310.0,2.7,6.0,Yes,No,No
383,20,Male,Bogotá,4.8,421.0,1.6,3.0,No,Yes,Yes
384,21,Female,Cundinamarca,8.5,187.0,1.1,1.0,Yes,No,Yes
385,21,Female,Bogotá,4.1,375.0,,6.0,No,No,No
386,24,Male,Otros departamentos,4.1,291.0,3.1,3.0,Yes,Yes,No
387,19,Male,Otros departamentos,5.9,441.0,3.9,3.0,No,Yes,No
388,23,Female,Otros departamentos,6.9,300.0,4.6,1.0,Yes,No,Yes
389,17,Female,Bogotá,8.6,263.0,1.3,3.0,No,No,Yes
390,17,Male,Bogotá,8.1,386.0,3.9,2.0,No,No,No
391,19,Male,Bogotá,6.7,215.0,1.7,1.0,No,Yes,No
392,19,Male,Bogotá,5.6,407.0,4.4,3.0,No,Yes,Yes
393,24,Male,Otros departamentos,10.0,398.0,4.3,5.0,No,No,Yes
394,24,Male,Otros departamentos,6.6,329.0,3.2,6.0,No,Yes,No
395,19,Female,Cundinamarca,6.7,339.0,3.8,3.0,No,Yes,No
396,20,Female,Cundinamarca,5.0,303.0,2.3,2.0,No,No,Yes
397,24,Female,Bogotá,8.8,345.0,2.9,4.0,No,No,No
398,22,Female,Otros departamentos,8.2,411.0,4.3,3.0,Yes,Yes,Yes
399,24,Male,Otros departamentos,5.3,292.0,2.8,4.0,Yes,Yes,Yes
400,17,Male,Otros departamentos,4.5,250.0,2.4,5.0,No,No,Yes
401,24,Male,Cundinamarca,8.1,393.0,3.0,3.0,Yes,Yes,No
402,20,Female,Cundinamarca,7.9,161.0,4.3,1.0,No,Yes,Yes
403,19,Female,Otros departamentos,5.6,388.0,2.3,,No,No,No
404,17,Male,Otros departamentos,9.7,198.0,1.7,5.0,Yes,No,No
405,24,Male,Otros departamentos,,191.0,3.8,1.0,No,Yes,No
406,20,Female,Cundinamarca,6.6,315.0,4.3,1.0,No,Yes,No
407,22,Female,Otros departamentos,9.7,231.0,1.4,1.0,Yes,Yes,Yes
408,24,Male,Otros departamentos,6.5,440.0,2.0,1.0,Yes,No,Yes
409,20,Male,Bogotá,7.8,,1.6,3.0,No,Yes,Yes
410,22,Female,Bogotá,6.4,365.0,2.4,,Yes,Yes,Yes
411,19,Male,Cundinamarca,5.6,,2.8,3.0,Yes,No,Yes
412,24,Male,Otros departamentos,9.9,,4.0,3.0,No,No,No
413,22,Male,Otros departamentos,6.5,216.0,3.6,5.0,Yes,Yes,No
414,17,Female,Bogotá,,156.0,3.5,5.0,Yes,No,No
415,19,Female,Cundinamarca,5.4,163.0,2.4,6.0,No,No,No
416,17,Female,Bogotá,5.3,222.0,,5.0,Yes,Yes,Yes
417,21,Female,Bogotá,4.2,312.0,2.9,2.0,Yes,No,No
418,18,Female,Bogotá,7.9,215.0,4.9,6.0,No,No,No
419,24,Female,Bogotá,6.2,,3.5,5.0,No,Yes,No
420,22,Female,Otros departamentos,9.2,355.0,,6.0,No,No,No
421,18,Male,Otros departamentos,6.8,425.0,3.7,3.0,Yes,Yes,Yes
422,18,Male,Bogotá,9.8,405.0,2.3,3.0,No,Yes,Yes
423,22,Male,Cundinamarca,5.1,415.0,3.7,6.0,No,No,Yes
424,19,Male,Cundinamarca,9.2,174.0,1.3,2.0,Yes,No,Yes
425,24,Male,Cundinamarca,8.7,430.0,1.7,2.0,No,No,Yes
426,21,Male,Cundinamarca,8.6,402.0,4.4,6.0,No,Yes,No
427,17,Male,Bogotá,9.1,438.0,1.9,5.0,No,No,Yes
428,20,Female,Otros departamentos,8.6,313.0,4.3,4.0,No,Yes,No
429,17,Female,Cundinamarca,7.8,244.0,2.1,2.0,Yes,No,Yes
430,20,Male,Bogotá,4.8,419.0,3.6,1.0,No,No,No
431,17,Male,Cundinamarca,4.2,259.0,3.8,3.0,No,No,No
432,22,Female,Cundinamarca,9.5,387.0,3.1,6.0,Yes,Yes,No
433,21,Male,Bogotá,7.7,174.0,2.2,1.0,No,No,No
434,24,Male,Otros departamentos,8.8,290.0,1.9,,Yes,No,Yes
435,20,Female,Otros departamentos,,266.0,1.1,3.0,Yes,Yes,Yes
436,24,Male,Bogotá,4.7,174.0,2.2,3.0,Yes,Yes,Yes
437,24,Female,Otros departamentos,4.8,228.0,3.6,2.0,No,No,No
438,24,Male,Bogotá,8.1,217.0,4.8,2.0,Yes,No,No
439,23,Female,Bogotá,6.6,322.0,4.5,1.0,Yes,No,No
440,19,Female,Bogotá,5.2,161.0,4.1,6.0,Yes,Yes,No
441,17,Female,Otros departamentos,6.9,437.0,4.2,3.0,No,Yes,No
442,24,Male,Bogotá,4.4,277.0,3.7,1.0,No,Yes,No
443,17,Female,Cundinamarca,7.5,245.0,2.0,4.0,No,Yes,Yes
444,24,Male,Otros departamentos,5.6,241.0,4.6,1.0,No,No,Yes
445,20,Male,Otros departamentos,8.8,290.0,3.7,5.0,No,Yes,No
446,19,Male,Otros departamentos,5.9,180.0,3.2,1.0,No,Yes,Yes
447,19,Male,Otros departamentos,6.7,169.0,1.4,5.0,No,Yes,Yes
448,22,Female,Cundinamarca,4.1,295.0,2.8,5.0,Yes,No,Yes
449,23,Female,Otros departamentos,,309.0,2.8,5.0,Yes,No,Yes
450,22,Male,Otros departamentos,6.4,192.0,4.5,4.0,Yes,Yes,No
451,22,Male,Bogotá,6.9,403.0,3.2,1.0,Yes,Yes,No
452,22,Female,Otros departamentos,7.6,279.0,2.5,1.0,No,No,Yes
453,22,Male,Cundinamarca,5.7,209.0,4.9,4.0,Yes,No,No
454,22,Female,Cundinamarca,8.2,300.0,1.4,3.0,Yes,No,No
455,21,Male,Cundinamarca,9.2,436.0,2.7,2.0,Yes,No,Yes
456,19,Male,Cundinamarca,8.7,154.0,1.2,1.0,Yes,No,Yes
457,22,Female,Otros departamentos,4.2,415.0,4.0,2.0,No,No,No
458,24,Male,Otros departamentos,6.9,279.0,4.7,6.0,No,No,No
459,19,Female,Cundinamarca,4.6,416.0,2.1,6.0,No,No,Yes
460,19,Male,Cundinamarca,5.5,327.0,4.4,4.0,Yes,Yes,No
461,18,Male,Otros departamentos,9.9,402.0,2.2,6.0,No,Yes,No
462,21,Male,Cundinamarca,4.9,205.0,4.6,6.0,Yes,Yes,No
463,22,Female,Bogotá,7.0,232.0,4.0,3.0,No,Yes,No
464,17,Male,Cundinamarca,7.7,248.0,4.2,3.0,No,Yes,No
465,20,Male,Cundinamarca,8.2,298.0,1.1,3.0,No,Yes,Yes
466,23,Male,Bogotá,7.4,305.0,4.9,6.0,No,No,No
467,24,Male,Bogotá,4.1,339.0,3.9,4.0,No,No,No
468,17,Female,Otros departamentos,6.0,412.0,2.2,5.0,Yes,Yes,Yes
469,21,Female,Otros departamentos,7.1,229.0,4.3,5.0,No,Yes,No
470,20,Male,Bogotá,4.5,401.0,2.1,2.0,Yes,No,No
471,21,Female,Bogotá,6.1,246.0,4.5,5.0,Yes,No,No
472,24,Male,Otros departamentos,4.2,409.0,1.5,5.0,Yes,No,No
473,19,Male,Cundinamarca,,409.0,3.8,3.0,Yes,Yes,No
474,20,Male,Bogotá,6.4,252.0,3.2,3.0,Yes,No,Yes
475,19,Female,Otros departamentos,4.8,189.0,1.4,6.0,No,Yes,Yes
476,24,Female,Cundinamarca,7.4,422.0,2.0,2.0,No,Yes,No
477,17,Female,Bogotá,8.1,250.0,1.0,1.0,No,No,Yes
478,24,Female,Cundinamarca,8.8,370.0,2.9,2.0,No,No,Yes
479,17,Female,Otros departamentos,5.2,273.0,2.2,2.0,Yes,Yes,No
480,20,Female,Bogotá,5.0,380.0,3.4,4.0,No,No,No
481,20,Female,Cundinamarca,4.6,327.0,2.2,6.0,No,No,Yes
482,22,Female,Bogotá,7.8,212.0,2.2,4.0,Yes,Yes,Yes
483,21,Female,Cundinamarca,8.2,265.0,4.0,2.0,Yes,No,No
484,22,Male,Otros departamentos,4.2,340.0,1.2,2.0,No,Yes,Yes
485,21,Female,Otros departamentos,9.6,211.0,4.6,2.0,No,Yes,Yes
486,22,Female,Bogotá,4.3,405.0,4.4,5.0,Yes,No,Yes
487,19,Female,Cundinamarca,7.2,156.0,3.7,4.0,No,Yes,No
488,20,Female,Bogotá,8.3,304.0,3.4,2.0,No,Yes,Yes
489,17,Female,Bogotá,9.2,241.0,4.6,3.0,No,No,No
490,21,Female,Cundinamarca,8.3,163.0,1.7,6.0,No,No,Yes
491,24,Female,Cundinamarca,8.8,378.0,1.3,6.0,Yes,No,Yes
492,21,Female,Cundinamarca,6.0,235.0,2.0,3.0,Yes,Yes,Yes
493,17,Female,Otros departamentos,,282.0,4.2,6.0,Yes,Yes,No
494,22,Female,Bogotá,4.5,332.0,1.1,5.0,No,No,Yes
495,21,Female,Bogotá,9.4,211.0,3.3,5.0,No,Yes,No
496,23,Male,Otros departamentos,7.3,368.0,5.0,1.0,No,No,Yes
497,19,Male,Cundinamarca,8.9,395.0,4.4,1.0,No,No,No
498,20,Female,Otros departamentos,6.7,379.0,3.1,1.0,No,Yes,No
499,17,Female,Otros departamentos,7.9,228.0,1.3,6.0,Yes,No,Yes
500,20,Male,Otros departamentos,7.2,298.0,4.3,5.0,No,Yes,No
